,Spot,VIX,11300CELtp,11300CECLtp,11300CEPCLtp,11300CEOI,11300CECOI,11300CEPCOI,11350PELtp,11350PECLtp,11350PEPCLtp,11350PEOI,11350PECOI,11350PEPCOI,Hedge,Total
09:15,11329.85,22.36,150.35,-127.70000000000002,-45.926991548282686,6865.0,5923.0,628.7685774946922,101.15,52.900000000000006,109.63730569948187,5676.0,2891.0,103.80610412926391,11300CE11350PE,251.5
09:30,11262.95,23.15,131.1,-4.900000000000006,-3.6029411764705923,8931.0,2066.0,30.09468317552804,96.95,-21.5,-18.15111861544956,8966.0,3290.0,57.96335447498238,11300CE11350PE,228.05
09:45,11294.85,22.8,99.25,-36.75,-27.02205882352941,12964.0,6099.0,88.84195193008011,140.65,22.200000000000003,18.742085268045592,8828.0,3152.0,55.53206483439042,11300CE11350PE,239.9
10:00,11315.25,22.69,102.35,-33.650000000000006,-24.742647058823533,20543.0,13678.0,199.24253459577568,127.95,9.5,8.020261713803292,6552.0,876.0,15.433403805496829,11300CE11350PE,230.3
10:15,11307.05,22.57,106.7,-29.299999999999997,-21.544117647058822,20427.0,13562.0,197.55280407865988,120.0,1.5499999999999972,1.30856901646264,6671.0,995.0,17.529950669485554,11300CE11350PE,226.7
10:30,11307.15,22.61,103.75,-32.25,-23.713235294117645,20537.0,13672.0,199.1551347414421,121.35,2.8999999999999915,2.44829041789784,6392.0,716.0,12.614517265680057,11300CE11350PE,225.1
10:45,11302.35,22.8,102.1,-33.900000000000006,-24.926470588235297,21025.0,14160.0,206.2636562272396,121.6,3.1499999999999915,2.659349936682137,6520.0,844.0,14.869626497533474,11300CE11350PE,223.7
11:00,11319.6,22.57,98.0,-38.0,-27.941176470588236,22985.0,16120.0,234.81427530954116,127.0,8.549999999999997,7.218235542422962,6637.0,961.0,16.93093727977449,11300CE11350PE,225.0
11:15,11328.9,22.36,103.85,-32.150000000000006,-23.639705882352946,23328.0,16463.0,239.8106336489439,119.9,1.4500000000000028,1.224145208948926,6794.0,1118.0,19.696969696969695,11300CE11350PE,223.75
11:30,11334.0,22.34,110.0,-26.0,-19.11764705882353,22426.0,15561.0,226.67152221412965,109.6,-8.850000000000009,-7.471506964964127,7287.0,1611.0,28.382663847780126,11300CE11350PE,219.6
