,Spot,VIX,11300CELtp,11300CECLtp,11300CEPCLtp,11300CEOI,11300CECOI,11300CEPCOI,11350PELtp,11350PECLtp,11350PEPCLtp,11350PEOI,11350PECOI,11350PEPCOI,Hedge,Total
11:45,11318.65,22.46,108.25,-27.75,-20.40441176470588,21815.0,14950.0,217.7713037144938,112.05,-6.400000000000006,-5.4031236808780125,8410.0,2734.0,48.1677237491191,11300CE11350PE,220.3
12:00,11322.35,22.42,105.2,-30.799999999999997,-22.64705882352941,22520.0,15655.0,228.040786598689,117.35,-1.1000000000000085,-0.9286618826509148,8536.0,2860.0,50.3875968992248,11300CE11350PE,222.55
12:15,11321.3,22.49,101.5,-34.5,-25.36764705882353,23594.0,16729.0,243.68536052439913,119.55,1.0999999999999943,0.9286618826509028,8385.0,2709.0,47.72727272727273,11300CE11350PE,221.05
12:30,11320.15,22.45,106.95,-29.049999999999997,-21.360294117647058,23598.0,16733.0,243.74362709395484,113.3,-5.150000000000006,-4.347826086956527,8346.0,2670.0,47.040169133192386,11300CE11350PE,220.25
12:45,11319.35,22.51,108.6,-27.400000000000006,-20.147058823529417,23647.0,16782.0,244.45739257101238,110.4,-8.049999999999997,-6.796116504854366,8571.0,2895.0,51.00422832980973,11300CE11350PE,219.0
13:00,11334.75,22.35,107.75,-28.25,-20.772058823529413,23558.0,16693.0,243.16096139839766,110.9,-7.549999999999997,-6.373997467285772,8369.0,2693.0,47.44538407329105,11300CE11350PE,218.65
13:15,11330.0,22.37,107.0,-29.0,-21.323529411764707,23522.0,16657.0,242.63656227239622,110.75,-7.700000000000003,-6.500633178556354,8732.0,3056.0,53.84073291050035,11300CE11350PE,217.75
13:30,11331.0,22.31,,,,,,,,,,,,,,
13:45,11338.9,22.26,,,,,,,,,,,,,,
14:00,11343.75,22.14,113.0,-23.0,-16.911764705882355,24013.0,17148.0,249.78878368536053,103.75,-14.700000000000003,-12.410299704516675,9021.0,3345.0,58.9323467230444,11300CE11350PE,216.75
14:15,11328.4,22.17,129.0,-7.0,-5.147058823529411,23763.0,16898.0,246.14712308812818,82.45,-36.0,-30.39257070493879,9609.0,3933.0,69.29175475687103,11300CE11350PE,211.45
14:30,11297.75,22.5,114.4,-21.599999999999994,-15.882352941176467,20599.0,13734.0,200.0582665695557,94.75,-23.700000000000003,-20.008442380751372,10043.0,4367.0,76.93798449612403,11300CE11350PE,209.15
14:45,11292.55,22.54,89.55,-46.45,-34.154411764705884,22788.0,15923.0,231.94464675892206,120.9,2.450000000000003,2.068383284086115,8399.0,2723.0,47.973925299506696,11300CE11350PE,210.45
15:00,11356.4,22.03,92.85,-43.150000000000006,-31.72794117647059,23547.0,16682.0,243.00072833211945,116.4,-2.049999999999997,-1.7306880540312344,8082.0,2406.0,42.38900634249472,11300CE11350PE,209.25
15:15,11377.0,21.59,104.85,-31.150000000000006,-22.904411764705888,20695.0,13830.0,201.45666423889293,99.55,-18.900000000000006,-15.95609962009287,6773.0,1097.0,19.326990838618745,11300CE11350PE,204.39999999999998
15:45,,,134.35,-1.6500000000000057,-1.2132352941176512,14515.0,7650.0,111.43481427530953,71.25,-47.2,-39.848037146475306,6898.0,1222.0,21.529245947850598,11300CE11350PE,205.6
08:09,,,150.35,-127.70000000000002,-45.926991548282686,6865.0,5923.0,628.7685774946922,101.15,52.900000000000006,109.63730569948187,5676.0,2891.0,103.80610412926391,11300CE11350PE,251.5
09:25,,,118.6,-17.400000000000006,-12.794117647058828,6865.0,0.0,0.0,115.35,-3.1000000000000085,-2.617138032925292,5676.0,0.0,0.0,11300CE11350PE,233.95
15:30,,,136.55,0.5500000000000114,0.40441176470589074,15476.0,8611.0,125.43335761107065,70.9,-47.55,-40.14352047277332,7009.0,1333.0,23.484848484848484,11300CE11350PE,207.45000000000002
