,Spot,VIX,11350CELtp,11350CECLtp,11350CEPCLtp,11350CEOI,11350CECOI,11350CEPCOI,11400PELtp,11400PECLtp,11400PEPCLtp,11400PEOI,11400PECOI,11400PEPCOI,Hedge,Total
09:15,11329.85,22.36,119.0,-115.80000000000001,-49.318568994889276,5206.0,5033.0,2909.248554913295,126.0,65.2,107.23684210526316,16557.0,206.0,1.2598617821539968,11350CE11400PE,245.0
09:30,11262.95,23.15,100.3,-8.650000000000006,-7.939421753097756,8979.0,3773.0,72.47406838263542,121.0,-25.5,-17.4061433447099,18086.0,1529.0,9.234764752068612,11350CE11400PE,221.3
09:45,11294.85,22.8,76.35,-32.60000000000001,-29.92198256080772,11181.0,5975.0,114.7714175950826,172.25,25.75,17.576791808873722,16887.0,330.0,1.9931146946910672,11350CE11400PE,248.6
10:00,11315.25,22.69,78.5,-30.450000000000003,-27.948600275355666,10830.0,5624.0,108.02919708029196,158.0,11.5,7.849829351535837,16381.0,-176.0,-1.0629945038352357,11350CE11400PE,236.5
10:15,11307.05,22.57,81.0,-27.950000000000003,-25.653969710876552,11041.0,5835.0,112.08221283134844,149.0,2.5,1.7064846416382253,16388.0,-169.0,-1.020716313341789,11350CE11400PE,230.0
10:30,11307.15,22.61,78.9,-30.049999999999997,-27.581459385039004,11187.0,5981.0,114.88666922781407,150.5,4.0,2.7303754266211606,16245.0,-312.0,-1.8843993477079182,11350CE11400PE,229.4
10:45,11302.35,22.8,77.15,-31.799999999999997,-29.187700780174385,11514.0,6308.0,121.16788321167883,151.35,4.849999999999994,3.3105802047781534,16554.0,-3.0,-0.01811922449719152,11350CE11400PE,228.5
11:00,11319.6,22.57,73.75,-35.2,-32.308398347865996,11643.0,6437.0,123.6457933154053,157.25,10.75,7.337883959044368,16373.0,-184.0,-1.1113124358277466,11350CE11400PE,231.0
11:15,11328.9,22.36,78.3,-30.650000000000006,-28.132170720514,11539.0,6333.0,121.64809834805993,149.3,2.8000000000000114,1.91126279863482,16241.0,-316.0,-1.9085583137041735,11350CE11400PE,227.60000000000002
11:30,11334.0,22.34,83.2,-25.75,-23.634694814134924,11727.0,6521.0,125.2593161736458,136.95,-9.550000000000011,-6.518771331058028,16193.0,-364.0,-2.198465905659238,11350CE11400PE,220.14999999999998
11:45,11318.65,22.46,81.65,-27.299999999999997,-25.057365764111978,12040.0,6834.0,131.27160968113714,141.0,-5.5,-3.754266211604096,16317.0,-240.0,-1.4495379597753215,11350CE11400PE,222.65
12:00,11322.35,22.42,79.7,-29.25,-26.847177604405694,12099.0,6893.0,132.40491740299655,145.95,-0.5500000000000114,-0.3754266211604173,15965.0,-592.0,-3.5755269674457932,11350CE11400PE,225.64999999999998
12:15,11321.3,22.49,76.6,-32.35000000000001,-29.692519504359804,12377.0,7171.0,137.74490971955436,148.15,1.6500000000000057,1.1262798634812325,16031.0,-526.0,-3.17690402850758,11350CE11400PE,224.75
12:30,11320.15,22.45,81.0,-27.950000000000003,-25.653969710876552,12520.0,7314.0,140.49174029965425,141.5,-5.0,-3.4129692832764507,15957.0,-600.0,-3.623844899438304,11350CE11400PE,222.5
12:45,11319.35,22.51,82.15,-26.799999999999997,-24.59843965121615,12576.0,7370.0,141.5674222051479,137.6,-8.900000000000006,-6.075085324232086,16098.0,-459.0,-2.7722413480703025,11350CE11400PE,219.75
13:00,11334.75,22.35,81.35,-27.60000000000001,-25.33272143184948,12340.0,7134.0,137.03419131771034,138.95,-7.550000000000011,-5.153583617747448,16062.0,-495.0,-2.989672042036601,11350CE11400PE,220.29999999999998
13:15,11330.0,22.37,80.3,-28.650000000000006,-26.296466268930708,12612.0,7406.0,142.2589320015367,139.15,-7.349999999999994,-5.017064846416378,16202.0,-355.0,-2.1441082321676634,11350CE11400PE,219.45
13:30,11331.0,22.31,,,,,,,,,,,,,,
13:45,11338.9,22.26,,,,,,,,,,,,,,
14:00,11343.75,22.14,85.0,-23.950000000000003,-21.982560807709962,12496.0,7290.0,140.0307337687284,130.15,-16.349999999999994,-11.16040955631399,16273.0,-284.0,-1.7152865857341306,11350CE11400PE,215.15
14:15,11328.4,22.17,97.25,-11.700000000000003,-10.738871041762279,13414.0,8208.0,157.66423357664235,105.75,-40.75,-27.815699658703068,16937.0,380.0,2.2951017696442593,11350CE11400PE,203.0
14:30,11297.75,22.5,86.0,-22.950000000000003,-21.06470858191831,12347.0,7141.0,137.16865155589704,120.3,-26.200000000000003,-17.883959044368602,16584.0,27.0,0.1630730204747237,11350CE11400PE,206.3
14:45,11292.55,22.54,66.2,-42.75,-39.238182652592926,12419.0,7213.0,138.55167114867461,151.8,5.300000000000011,3.6177474402730456,15798.0,-759.0,-4.584163797789454,11350CE11400PE,218.0
15:00,11356.4,22.03,68.2,-40.75,-37.402478201009636,11967.0,6761.0,129.86938148290434,146.1,-0.4000000000000057,-0.2730375426621199,15707.0,-850.0,-5.133780274204264,11350CE11400PE,214.3
15:15,11377.0,21.59,76.85,-32.10000000000001,-29.463056447911896,11075.0,5869.0,112.73530541682673,128.1,-18.400000000000006,-12.55972696245734,14817.0,-1740.0,-10.509150208371082,11350CE11400PE,204.95
15:45,,,100.3,-8.650000000000006,-7.939421753097756,7618.0,2412.0,46.3311563580484,92.5,-54.0,-36.86006825938566,16228.0,-329.0,-1.9870749531920033,11350CE11400PE,192.8
08:09,,,119.0,-115.80000000000001,-49.318568994889276,5206.0,5033.0,2909.248554913295,126.0,65.2,107.23684210526316,16557.0,206.0,1.2598617821539968,11350CE11400PE,245.0
09:25,,,90.15,-18.799999999999997,-17.25562184488297,5206.0,0.0,0.0,142.7,-3.8000000000000114,-2.5938566552901103,16557.0,0.0,0.0,11350CE11400PE,232.85
15:30,,,102.25,-6.700000000000003,-6.149609912804041,8256.0,3050.0,58.586246638494046,91.8,-54.7,-37.33788395904437,15374.0,-1183.0,-7.145014193392523,11350CE11400PE,194.05
